Township,HA_Num,HA_Name,HSDA_Num,HSDA_Name,LHA_Num,LHA_Name,Province
KETTLE VALLEY,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
KILLINEY BEACH,1,Interior,13,Okanagan,137,Central Okanagan,BC
KIMBERLEY,1,Interior,11,East Kootenay,113,Kimberley,BC
KINGFISHER,1,Interior,13,Okanagan,139,Enderby,BC
KINGSGATE,1,Interior,11,East Kootenay,115,Creston,BC
KINGSVALE,1,Interior,14,Thompson Cariboo Shuswap,149,Merritt,BC
KITCHENER,1,Interior,11,East Kootenay,115,Creston,BC
KLEENA KLEENE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
KNOUFF LAKE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
KNUTSFORD,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
KOOCANUSA LAKE,1,Interior,11,East Kootenay,111,Fernie,BC
KOOTENAY BAY,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
KOOTENAY CROSSING,1,Interior,11,East Kootenay,114,Windermere,BC
KRAGMONT,1,Interior,11,East Kootenay,111,Fernie,BC
KRESTOVA,1,Interior,12,Kootenay Boundary,122,Nelson,BC
KUSKANOOK,1,Interior,11,East Kootenay,115,Creston,BC
KUSKONOOK,1,Interior,11,East Kootenay,115,Creston,BC
LAC LA HACHE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
LAC LE JEUNE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
LAKE COUNTRY,1,Interior,13,Okanagan,137,Central Okanagan,BC
"LAKE COUNTRY, DISTRICT OF",1,Interior,13,Okanagan,137,Central Okanagan,BC
LARDEAU,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
LAVINGTON,1,Interior,13,Okanagan,136,Vernon,BC
LEANCHOIL,1,Interior,11,East Kootenay,116,Golden,BC
LEBAHDO,1,Interior,12,Kootenay Boundary,122,Nelson,BC
LEE CREEK,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
LEES CORNER,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
LEMON CREEK,1,Interior,12,Kootenay Boundary,122,Nelson,BC
LEMPRIERE,1,Interior,14,Thompson Cariboo Shuswap,145,North Thompson,BC
LIKELY,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
LILLOOET,1,Interior,14,Thompson Cariboo Shuswap,147,Lillooet,BC
LINE CREEK,1,Interior,11,East Kootenay,111,Fernie,BC
LISTER,1,Interior,11,East Kootenay,115,Creston,BC
LITTLE FORT,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
LOGAN LAKE,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
LONE BUTTE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
LONGBEACH,1,Interior,12,Kootenay Boundary,122,Nelson,BC
LOON LAKE,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
LOUIS CREEK,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
LOWER NICOLA,1,Interior,14,Thompson Cariboo Shuswap,149,Merritt,BC
LULU 5,1,Interior,13,Okanagan,134,Princeton,BC
LUMBERTON,1,Interior,11,East Kootenay,112,Cranbrook,BC
LUMBY,1,Interior,13,Okanagan,136,Vernon,BC
LYTTON,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
MABEL LAKE,1,Interior,13,Okanagan,136,Vernon,BC
